#,Region,Company,Product,Date of Approval,Status,Action
235,Central Region,Indian Oil Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
236,Central Region,Indian Oil Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
237,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
238,Eastern Region,Indian Oil Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
239,Western Region,Indian Oil Corporation Limited,HSD (in KL),16/10/2021,Approved,View & Print
240,Western Region,Indian Oil Corporation Limited,MS (in KL),16/10/2021,Approved,View & Print
,,,Subsidized LPG (No. of,,,
241,Western Region,Indian Oil Corporation Limited,,06/10/2021,Approved,View & Print
,,,Cylinder),,,
,,,Subsidized LPG (No. of,,,
242,Central Region,Indian Oil Corporation Limited,,06/10/2021,Approved,View & Print
,,,Cylinder),,,
,,,Subsidized LPG (No. of,,,
243,Eastern Region,Indian Oil Corporation Limited,,06/10/2021,Approved,View & Print
,,,Cylinder),,,
244,Western Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
245,Western Region,Bharat Petroleum Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
246,Central Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
247,Central Region,Bharat Petroleum Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
248,Eastern Region,Bharat Petroleum Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
249,Eastern Region,Bharat Petroleum Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
250,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
251,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
252,Western Region,Indian Oil Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
253,Western Region,Indian Oil Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
254,Western Region,Indian Oil Corporation Limited,SKO (in KL),01/10/2021,Approved,View & Print
255,,,Non-Subsidized LPG,,,
,Western Region,Indian Oil Corporation Limited,,01/10/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
256,Western Region,Indian Oil Corporation Limited,,01/10/2021,Approved,View & Print
,,,Cylinder),,,
257,Central Region,Indian Oil Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
258,Central Region,Indian Oil Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
259,Central Region,Indian Oil Corporation Limited,SKO (in KL),01/10/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
260,Central Region,Indian Oil Corporation Limited,,01/10/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
261,Central Region,Indian Oil Corporation Limited,,01/10/2021,Approved,View & Print
,,,Cylinder),,,
262,Eastern Region,Indian Oil Corporation Limited,HSD (in KL),01/10/2021,Approved,View & Print
263,Eastern Region,Indian Oil Corporation Limited,MS (in KL),01/10/2021,Approved,View & Print
264,Eastern Region,Indian Oil Corporation Limited,SKO (in KL),01/10/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
265,Eastern Region,Indian Oil Corporation Limited,,01/10/2021,Approved,View & Print
,,,(No. of Cylinder),,,
,,,Commercial LPG (No. of,,,
266,Eastern Region,Indian Oil Corporation Limited,,01/10/2021,Approved,View & Print
,,,Cylinder),,,
267,Western Region,Hindustan Petroleum Corporation Limited,HSD (in KL),28/09/2021,Approved,View & Print
268,Western Region,Hindustan Petroleum Corporation Limited,MS (in KL),28/09/2021,Approved,View & Print
,,,Non-Subsidized LPG,,,
269,Western Region,Indian Oil Corporation Limited,,17/09/2021,Approved,View & Print
